timestamp,ang_velo,lowpass_angvelo,ang_velo_false
1726443597794,-0.000000,0.008189,18.292703
1726443597806,-0.000000,0.008721,-8.310587
1726443597807,-0.000000,-0.002126,14.544091
1726443597808,-0.000000,-0.009800,18.011609
1726443597809,-0.000000,0.011837,-8.185999
1726443597809,-0.000000,0.029068,17.902381
1726443597809,-0.000000,0.037277,11.386494
1726443597810,-0.000000,0.049367,5.788118
1726443597810,-0.000000,0.041597,17.972457
1726443597811,-0.000000,0.070073,23.667844
1726443597811,-0.000000,0.082281,5.306340
1726443597811,-0.000000,0.087880,-3.860925
1726443597812,-0.000000,0.119951,22.458116
1726443597812,-0.000000,0.129275,21.674158
1726443597812,-0.000000,0.160586,-1.535785
1726443597813,-0.000000,0.159246,2.848536
1726443597813,-0.000000,0.167314,29.639007
1726443597814,-0.000000,0.192729,3.105141
1726443597814,-0.000000,0.212509,6.936217
1726443597814,-0.000000,0.211520,28.771980
1726443597815,-0.000000,0.212212,19.987481
1726443597815,-0.000000,0.242055,-7.567255
1726443597816,-0.000000,0.249062,19.953032
1726443597816,-0.000000,0.282083,17.383134
1726443597817,-0.000000,0.285715,-4.922643
1726443597817,-0.000000,0.302666,-7.211658
1726443597818,-0.000000,0.335102,10.850450
1726443597818,-0.000000,0.338308,25.290030
1726443597819,-0.000000,0.348669,10.933106
1726443597819,-0.000000,0.372241,-4.806134
1726443597819,-0.000000,0.404841,25.512536
1726443597820,-0.000000,0.433661,14.001554
1726443597820,-0.000000,0.431432,-9.487661
1726443597820,-0.000000,0.459821,-5.065918
1726443597821,-0.000000,0.456435,24.088754
1726443597821,-0.000000,0.479159,29.225733
1726443597821,-0.000000,0.494867,16.102857
1726443597822,-0.000000,0.490009,8.351204
1726443597822,-0.000000,0.522731,1.766243
1726443597822,-0.000000,0.535901,25.981011
1726443597823,-0.000000,0.542456,12.415486
1726443597823,-0.000000,0.538158,13.343138
1726443597823,-0.000000,0.537318,4.378532
1726443597824,-0.000000,0.570068,7.801756
1726443597824,-0.000000,0.568447,21.153971
1726443597824,-0.000000,0.564260,26.846575
1726443597825,-0.000000,0.575333,24.631927
1726443597825,-0.000000,0.583028,-1.680729
1726443597826,-0.000000,0.581686,-2.156828
